ID,Start time,Completion time,Email,Name,What advantages/opportunities would you expect from a merger between SoCS and SoE?,In what areas could you see any potential issues/problems/concerns arising from such a merger of schools?,Do you feel there are aspects of the schools that may improve because of the merger?,"If the merger had happened before you came to Lincoln, would it have made a significant impact on your decision to apply/come to Lincoln? In what way?",Do you have any suggestions that should be considered moving forward?,Which school are you currently a student in?
1,5/19/21 9:44:12,5/19/21 9:47:24,anonymous,,New modules which involve aspects of both profession.,"Clearly the main motivator is to save money. When money is the reason rather than improving the education, it isn’t a good move. If it isn’t broken, don’t fix it.",Probably not,"I would have chosen to go to a university with a dedicated school of computer science. Merging gives the impression that you cannot specialise in just one area, you have to learn both. It makes the courses less attractive.",Just don’t merge.,School of Computer Science
2,5/19/21 9:43:20,5/19/21 9:47:44,anonymous,,an oppotunity for increased cross-curricular oppotunities for things such as electronics engineering,"A loss of focus on computer science, becoming just another engineering discipline.",good for the engineers tech literacy,"it would have negativley affected my decision to apply. The specialist school was a bonus, as I knew the degree would be designed for compsci students. With the new structure, I would have assumed a possibility of 'second place to engineers'",,School of Computer Science
3,5/19/21 9:47:59,5/19/21 9:49:54,anonymous,,More resources maybe,"Too many students so people fall through the cracks, content that either school never wanted",No,"Without knowing how this will change the course, there's a good change I would have gone else where",,School of Computer Science
4,5/19/21 9:50:01,5/19/21 9:52:40,anonymous,,None,"Delivery of modules, more difficult for improvements to be made on existing shortfalls within the school. Sharing of facilities, lack of meaningful practical sessions",None,"Yes, I would not have applied to Lincoln","Cancelling the merger, improve the current shortfalls on the programme before considering mergers",School of Engineering
5,5/19/21 10:11:21,5/19/21 10:12:45,anonymous,,None,Engineering could be a problem if the schools merged as I'm in the school of computer science not engineering,No,I would have not applied,,School of Computer Science
6,5/19/21 9:56:28,5/19/21 10:19:36,anonymous,,I expect CS and Eng course to be tied together and opportunities to speak to Eng people about how and where specific CS course material fits within Eng projects (as examples),"I don't foresee any issues or problems as such, however if CS course material is modified to take more Eng aspects into account obviously lecture slides and discussion / workshop material will change. Change leads to errors.","The school itself no, the purpose of the school yes - it can become targeted and tie the two broad subjects together - ""joined up thinking""",No because I didn't know what to expect. The CS course surprised me as it was as I didnt expect it to be so general. Linking the two subjects and pointing out that CS is used within engineering would help others pick CS as a course as it would perhaps look more relevant,"Yes, definitely. I think CS course material MUST use algorithms / examples that can be demonstrated to tie directly to an engineering purpose. For example maths and vectors and robotics tie directly to servo motors and their control. Examples of big data / machine learning (as we did in our assignments for a power station) should tie in with how the data was obtained (sensors) and how output from machine learning can be used to physical control motors / valves in an engineering sense. Currently we are told that predicting a fault using big data and machine learning can be used in a power station setting but with absolutely no information on how a computer program would interface with the engineering side. Algorithms and programming are great but they stay within a computer - show the interface between computer and the thing it is to control. IoT started to do this but didn't. Perhaps CS course should show how to write device drivers? Perhaps show how a haptic feedback games controller or steering wheel is controlled as a specific example. Perhaps show how a camera and its lens is controlled and the maths relating to the lens are used within Image Processing rather than just presenting an image ready to be processed, perhaps show the complete system of auto-focus from obtaining the image to analysing the sensor data and then using the actuator to change the focus.",School of Computer Science
7,5/19/21 10:26:04,5/19/21 10:27:15,anonymous,,"More extra curricular opportunities, more hardware options for CS students",Funding being diverted to one area more than another,,No,,School of Computer Science
8,5/19/21 10:12:42,5/19/21 10:28:28,anonymous,,"It would allow for access to more resources such as computer labs, and space. It would have also provide access to a increased count of academic and prof. services staff. This could mean that questions could be answered quicker...","If SoCS became branded as SoE; SoCS would loose its own identity. This could loose the close monitoring of a smaller dept, the merger could only be effective if the management team is ready to take all school responsibilities. Course leads must be kept.","Access to the community, such as with a new Teams channel and school wide activities, with more people.",It wouldn't have affected the situation as I have a slight engineering background from previous studies.,"The new school must have a neutral name and neutral branding. This would help set a mindset of a NEW school rather than a merged school. A merged school (with a previous name) would mean that one side will almost always be favoured over the other, and a long name such as ""The School of Engineering and Computer Science (SoECS)"", wouldn't be easy to say and is very long and unwieldy, while providing ambiguity and confusion.",School of Computer Science
9,5/19/21 10:51:19,5/19/21 10:53:52,anonymous,,cross discipline learning,less fine grained support,co discipline collaboration,,,School of Computer Science
10,5/19/21 11:30:34,5/19/21 11:31:50,anonymous,,"none....................... 2 different degrees , there should be an option to do mixed course not necessary to combing the whole school",all of the above,who knows,"yes , I wouldn't apply for a course which is mixed with engineering",,School of Computer Science
